"area_id","parea_id","amo","sum","total","pages","female","male","ctime","update_time","max_hour","avg_hour"
"164","2","2929","4167","12","1","0","0","11/4/2019 17:00:00",,"0","0"
"115","2","4098","5415","18","1","0","0","11/4/2019 17:00:00",,"0","0"
"78","2","8863","59226","118","3","0","0","11/4/2019 17:00:00","11/4/2019 17:16:28","0","0"
"196","2","6076","17040","33","1","0","0","11/4/2019 17:00:00",,"0","0"
"82","2","70489","85419","55","2","0","0","11/4/2019 17:00:00","11/4/2019 17:16:28","0","0"
"89","2","8939","23484","74","2","0","0","11/4/2019 17:00:00","11/4/2019 17:16:28","0","0"
"88","2","4583","4934","27","1","0","0","11/4/2019 17:00:00",,"0","0"
"102","2","4286","12966","54","2","0","0","11/4/2019 17:00:00","11/4/2019 17:16:29","0","0"
"239","2","140406","359293","94","2","0","0","11/4/2019 17:00:00","11/4/2019 17:16:29","0","0"
"84","2","34650","110245","138","3","0","0","11/4/2019 17:00:00","11/4/2019 17:16:30","0","0"
"91","2","17256","49178","69","2","0","0","11/4/2019 17:00:00","11/4/2019 17:16:30","0","0"
"240","2","135974","349873","155","4","0","0","11/4/2019 17:00:00","11/4/2019 17:16:31","0","0"
"80","2","84435","396487","160","4","0","0","11/4/2019 17:00:00","11/4/2019 17:16:31","0","0"
"92","2","17478","24108","52","2","0","0","11/4/2019 17:00:00","11/4/2019 17:16:30","0","0"
"87","2","16559","139756","116","3","0","0","11/4/2019 17:00:00","11/4/2019 17:16:31","0","0"
"189","3","1948","2176","17","1","0","0","11/4/2019 18:00:00",,"0","0"
"140","3","86500","117062","30","1","0","0","11/4/2019 18:00:00",,"0","0"
"86","2","35146","607779","536","11","0","0","11/4/2019 18:00:00","11/4/2019 18:16:15","0","0"
"214","3","1723","1738","4","1","0","0","11/4/2019 18:00:00",,"0","0"
"182","3","15","43","5","1","0","0","11/4/2019 18:00:00",,"0","0"
"36","3","2561","3413","23","1","0","0","11/4/2019 18:00:00",,"0","0"
"155","3","6","6","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"50","3","115","141","3","1","0","0","11/4/2019 18:00:00",,"0","0"
"48","3","21","30","3","1","0","0","11/4/2019 18:00:00",,"0","0"
"39","3","142","350","11","1","0","0","11/4/2019 18:00:00",,"0","0"
"95","4","1897","1988","9","1","0","0","11/4/2019 18:00:00",,"0","0"
"96","4","3449","7776","24","1","0","0","11/4/2019 18:00:00",,"0","0"
"156","3","19128","25122","24","1","0","0","11/4/2019 18:00:00",,"0","0"
"37","3","33584","35578","25","1","0","0","11/4/2019 18:00:00",,"0","0"
"113","3","750","1459","21","1","0","0","11/4/2019 18:00:00",,"0","0"
"193","5","9516","13844","4","1","0","0","11/4/2019 18:00:00",,"0","0"
"192","5","5425","38939","53","2","0","0","11/4/2019 18:00:00","11/4/2019 18:16:11","0","0"
"141","3","346","431","7","1","0","0","11/4/2019 18:00:00",,"0","0"
"40","3","4196","17437","30","1","0","0","11/4/2019 18:00:00",,"0","0"
"51","4","8057","43444","81","2","0","0","11/4/2019 18:00:00","11/4/2019 18:16:11","0","0"
"154","3","844","1325","16","1","0","0","11/4/2019 18:00:00",,"0","0"
"33","1","41186","698489","370","8","0","0","11/4/2019 18:00:00","11/4/2019 18:16:14","0","0"
"94","4","5449","18777","42","1","0","0","11/4/2019 18:00:00",,"0","0"
"190","5","13789","50503","44","1","0","0","11/4/2019 18:00:00",,"0","0"
"34","1","33101","132280","101","3","0","0","11/4/2019 18:00:00","11/4/2019 18:16:14","0","0"
"25","1","18575","19076","23","1","0","0","11/4/2019 18:00:00",,"0","0"
"136","1","615","956","15","1","0","0","11/4/2019 18:00:00",,"0","0"
"123","1","174","419","16","1","0","0","11/4/2019 18:00:00",,"0","0"
"143","1","15328","22853","12","1","0","0","11/4/2019 18:00:00",,"0","0"
"27","1","7327","73981","414","9","0","0","11/4/2019 18:00:00","11/4/2019 18:16:19","0","0"
"28","1","7899","16489","47","1","0","0","11/4/2019 18:00:00",,"0","0"
"207","1","6515","6515","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"225","6","4","4","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"145","1","11813","111398","84","2","0","0","11/4/2019 18:00:00","11/4/2019 18:16:18","0","0"
"222","6","0","0","0","1","0","0","11/4/2019 18:00:00",,"0","0"
"246","6","15","27","3","1","0","0","11/4/2019 18:00:00",,"0","0"
"199","1","69959","127952","33","1","0","0","11/4/2019 18:00:00",,"0","0"
"226","6","22","27","2","1","0","0","11/4/2019 18:00:00",,"0","0"
"235","6","49212","255906","261","6","0","0","11/4/2019 18:00:00","11/4/2019 18:16:17","0","0"
"232","6","5","5","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"230","6","0","0","0","1","0","0","11/4/2019 18:00:00",,"0","0"
"224","6","4","4","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"223","6","14252","23450","10","1","0","0","11/4/2019 18:00:00",,"0","0"
"227","6","1435","2887","13","1","0","0","11/4/2019 18:00:00",,"0","0"
"220","6","114","114","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"247","6","8541","48037","22","1","0","0","11/4/2019 18:00:00",,"0","0"
"229","6","4545","10032","16","1","0","0","11/4/2019 18:00:00",,"0","0"
"21","1","17446","35388","22","1","0","0","11/4/2019 18:00:00",,"0","0"
"241","6","13","13","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"228","6","885","1067","6","1","0","0","11/4/2019 18:00:00",,"0","0"
"233","6","12","15","2","1","0","0","11/4/2019 18:00:00",,"0","0"
"244","6","91","186","8","1","0","0","11/4/2019 18:00:00",,"0","0"
"221","6","5388","8679","18","1","0","0","11/4/2019 18:00:00",,"0","0"
"243","6","2400","4603","26","1","0","0","11/4/2019 18:00:00",,"0","0"
"242","3","0","0","0","1","0","0","11/4/2019 18:00:00",,"0","0"
"217","6","3003","10116","30","1","0","0","11/4/2019 18:00:00",,"0","0"
"218","6","899","1236","15","1","0","0","11/4/2019 18:00:00",,"0","0"
"236","6","28800","81867","109","3","0","0","11/4/2019 18:00:00","11/4/2019 18:16:21","0","0"
"245","6","165087","346127","140","3","0","0","11/4/2019 18:00:00","11/4/2019 18:16:20","0","0"
"215","3","22","60","6","1","0","0","11/4/2019 18:00:00",,"0","0"
"238","3","1815","2808","2","1","0","0","11/4/2019 18:00:00",,"0","0"
"98","3","53621","81529","128","3","0","0","11/4/2019 18:00:00","11/4/2019 18:16:21","0","0"
"211","3","1776","1820","5","1","0","0","11/4/2019 18:00:00",,"0","0"
"212","3","3359","4415","9","1","0","0","11/4/2019 18:00:00",,"0","0"
"208","3","7728","12932","21","1","0","0","11/4/2019 18:00:00",,"0","0"
"184","3","0","0","0","1","0","0","11/4/2019 18:00:00",,"0","0"
"206","3","0","0","0","1","0","0","11/4/2019 18:00:00",,"0","0"
"178","3","91","126","5","1","0","0","11/4/2019 18:00:00",,"0","0"
"203","3","87","235","4","1","0","0","11/4/2019 18:00:00",,"0","0"
"186","3","14","14","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"237","6","9883","13196","12","1","0","0","11/4/2019 18:00:00",,"0","0"
